tconst,date,enjoyment_score,quality_score
tt10293406,,3.0,
tt1037705,,2.0,
tt0365830,,4.0,
tt8936646,,3.0,
tt1800302,,3.0,
tt0102059,,4.0,
tt13640670,,4.0,
tt2406566,,4.0,
tt1560220,,2.0,
tt0242653,,2.0,
tt4649466,,1.0,
tt0082509,,4.0,
tt1270797,,4.0,
tt0465602,,4.0,
tt6823368,,3.0,
tt0322802,,4.0,
tt4995776,,2.0,
tt0118689,,3.0,
tt5884052,,2.0,
tt3063516,,4.0,
tt2935510,,4.0,
tt2140507,,4.0,
tt0387808,,4.0,
tt0472399,,2.0,
tt0365907,,2.0,
tt0963178,,3.0,
tt4731136,,3.0,
tt6856242,,3.0,
tt1318517,,3.0,
tt4123432,,2.0,
tt1077368,,4.0,
tt7737528,,4.0,
tt7985648,,2.0,
tt5073642,,3.0,
tt8106534,,2.0,
tt8385148,,2.0,
tt0489099,,3.0,
tt1700841,,2.0,
tt0119874,,2.0,
tt4463120,,2.0,
tt7043012,,4.0,
tt5500218,,1.0,
tt0790736,,2.0,
tt9783600,,3.0,
tt0462335,,4.0,
tt6511932,,2.0,
tt3212232,,1.0,
tt13479592,,2.0,
tt0259324,,3.0,
tt5834426,,1.0,
tt0118747,,2.0,
